open,high,low,close,volume,vwap,timestamp,transactions,otc,ny_timestamp
230.92,230.99,230.8901,230.92,49878.0,230.9487,1756392180000,833,,2025-08-28 10:43:00-04:00
230.92,230.9899,230.887,230.975,61291.0,230.9495,1756392240000,878,,2025-08-28 10:44:00-04:00
230.99,231.1,230.95,231.0698,181900.0,231.0186,1756392300000,2458,,2025-08-28 10:45:00-04:00
231.07,231.445,231.05,231.415,182383.0,231.3057,1756392360000,2859,,2025-08-28 10:46:00-04:00
231.4112,231.59,231.35,231.35,131246.0,231.4731,1756392420000,2087,,2025-08-28 10:47:00-04:00
231.35,231.68,231.32,231.6182,176282.0,231.564,1756392480000,2248,,2025-08-28 10:48:00-04:00
231.64,231.65,231.37,231.44,123707.0,231.5088,1756392540000,1888,,2025-08-28 10:49:00-04:00
231.445,231.5821,231.415,231.56,53731.0,231.5116,1756392600000,1031,,2025-08-28 10:50:00-04:00
231.55,231.65,231.52,231.52,69531.0,231.5779,1756392660000,1362,,2025-08-28 10:51:00-04:00
231.49,231.72,231.47,231.68,87205.0,231.5917,1756392720000,1403,,2025-08-28 10:52:00-04:00
231.6901,231.85,231.6401,231.7835,100941.0,231.7528,1756392780000,1591,,2025-08-28 10:53:00-04:00
231.785,231.88,231.7,231.72,108197.0,231.8031,1756392840000,1568,,2025-08-28 10:54:00-04:00
231.72,231.91,231.66,231.776,86367.0,231.7844,1756392900000,1522,,2025-08-28 10:55:00-04:00
231.78,231.81,231.6,231.65,76790.0,231.722,1756392960000,1230,,2025-08-28 10:56:00-04:00
231.65,231.74,231.61,231.69,67088.0,231.6676,1756393020000,1202,,2025-08-28 10:57:00-04:00
231.6837,231.71,231.46,231.52,72316.0,231.5701,1756393080000,1246,,2025-08-28 10:58:00-04:00
231.51,231.52,231.33,231.3599,83157.0,231.4246,1756393140000,1199,,2025-08-28 10:59:00-04:00
231.36,231.43,231.25,231.4228,72748.0,231.3387,1756393200000,1076,,2025-08-28 11:00:00-04:00
231.415,231.5069,231.27,231.29,53559.0,231.3867,1756393260000,907,,2025-08-28 11:01:00-04:00
231.29,231.36,231.1424,231.2608,52933.0,231.2546,1756393320000,987,,2025-08-28 11:02:00-04:00
231.25,231.3764,231.2,231.32,30022.0,231.2913,1756393380000,647,,2025-08-28 11:03:00-04:00
231.3325,231.43,231.31,231.3276,57272.0,231.3572,1756393440000,806,,2025-08-28 11:04:00-04:00
231.32,231.325,231.16,231.22,59263.0,231.2423,1756393500000,903,,2025-08-28 11:05:00-04:00
231.24,231.3,231.13,231.1604,37775.0,231.2363,1756393560000,765,,2025-08-28 11:06:00-04:00
231.19,231.2697,231.11,231.163,49535.0,231.1826,1756393620000,680,,2025-08-28 11:07:00-04:00
231.15,231.18,231.09,231.165,31041.0,231.1344,1756393680000,671,,2025-08-28 11:08:00-04:00
231.155,231.22,231.13,231.14,35221.0,231.1671,1756393740000,664,,2025-08-28 11:09:00-04:00
231.1401,231.2216,231.135,231.21,44365.0,231.1918,1756393800000,738,,2025-08-28 11:10:00-04:00
231.205,231.35,231.18,231.305,46722.0,231.251,1756393860000,760,,2025-08-28 11:11:00-04:00
231.3,231.415,231.299,231.37,38912.0,231.3742,1756393920000,666,,2025-08-28 11:12:00-04:00
231.365,231.41,231.31,231.34,34881.0,231.3459,1756393980000,601,,2025-08-28 11:13:00-04:00
231.34,231.46,231.34,231.4201,49280.0,231.4074,1756394040000,660,,2025-08-28 11:14:00-04:00
231.4511,231.46,231.39,231.42,72336.0,231.4202,1756394100000,719,,2025-08-28 11:15:00-04:00
231.41,231.57,231.39,231.5088,73053.0,231.4932,1756394160000,1384,,2025-08-28 11:16:00-04:00
231.5099,231.57,231.475,231.54,73762.0,231.5227,1756394220000,836,,2025-08-28 11:17:00-04:00
231.54,231.57,231.37,231.56,93969.0,231.4797,1756394280000,1284,,2025-08-28 11:18:00-04:00
231.57,231.59,231.41,231.4381,36721.0,231.5023,1756394340000,660,,2025-08-28 11:19:00-04:00
231.435,231.44,231.26,231.32,58216.0,231.3415,1756394400000,860,,2025-08-28 11:20:00-04:00
231.32,231.4,231.185,231.19,42592.0,231.3151,1756394460000,830,,2025-08-28 11:21:00-04:00
231.19,231.21,231.11,231.12,33755.0,231.1638,1756394520000,687,,2025-08-28 11:22:00-04:00
231.12,231.17,231.04,231.0603,63280.0,231.1119,1756394580000,1041,,2025-08-28 11:23:00-04:00
231.05,231.08,230.945,230.955,47801.0,231.0213,1756394640000,896,,2025-08-28 11:24:00-04:00
230.95,230.9739,230.75,230.835,66344.0,230.8912,1756394700000,1056,,2025-08-28 11:25:00-04:00
230.82,230.88,230.71,230.7799,42308.0,230.817,1756394760000,813,,2025-08-28 11:26:00-04:00
